Name,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,BestPlayers,MfgPlaytime,MfgAgeRec,category
Die Macher,1986,4.3206,7.61428,3,5,5,240,14,Strategy
Dragonmaster,1981,1.963,6.64537,3,4,0,30,12,Strategy
Samurai,1998,2.4859,7.45601,2,4,3,60,10,Strategy
Tal der Könige,1992,2.6667,6.60006,2,4,0,60,12,misc
Acquire,1964,2.5031,7.33861,2,6,4,90,12,Strategy
Mare Mediterraneum,1989,3.0,6.5537,2,6,0,240,12,misc
Cathedral,1978,1.795,6.52083,2,2,0,20,8,Abstract
Lords of Creation,1993,2.4,6.10716,2,5,0,120,12,misc
El Caballero,1998,3.1824,6.45265,2,4,3,90,13,Strategy
Elfenland,1998,2.1578,6.69695,2,6,4,60,10,Family
Bohnanza,1997,1.6751,7.04068,2,7,5,45,13,Family
Ra,1999,2.3498,7.47924,2,5,3,60,12,Strategy
Catan,1995,2.3139,7.13746,3,4,4,120,10,misc
Basari,1998,1.8571,6.75682,3,4,4,25,10,misc
Cosmic Encounter,1977,2.3747,6.91053,2,6,4,90,12,misc
MarraCash,1996,2.1505,6.83223,3,4,0,60,12,Strategy
Button Men,1999,1.527,6.37009,2,2,0,5,10,CGS
RoboRally,1994,2.4302,7.07714,2,8,5,120,12,misc
Wacky Wacky West,1991,1.8365,6.29107,2,4,0,45,9,Family
Full Metal Planète,1988,3.1639,7.48874,2,4,0,90,12,Strategy
Gateway to the Stars,1994,3.0,5.5,1,7,0,0,12,misc
Magic Realm,1979,4.5277,7.21002,1,16,3,240,12,misc
Divine Right,1979,3.1781,7.13465,2,6,0,360,12,misc
Twilight Imperium,1997,3.4906,6.62609,2,6,0,240,12,Thematic
Battlemist,1998,3.2,5.92531,2,6,0,200,12,misc
Age of Renaissance,1996,3.8598,7.09678,3,6,5,300,12,Strategy
Supremacy: The Game of the Superpowers,1984,3.1271,5.65347,2,6,0,340,12,War
Illuminati,1987,2.6472,6.4816,2,8,4,180,12,misc
Terrain Vague,1993,3.25,6.68521,2,4,0,120,10,misc
Dark Tower,1981,1.81,6.84482,1,4,0,90,10,Thematic
Dark World,1991,1.9259,5.36587,2,5,0,90,10,Thematic
Buffalo Chess,1975,1.5417,6.06147,2,2,0,30,8,Abstract
Arkham Horror,1987,2.3958,6.64889,1,8,0,180,12,Thematic
Federation & Empire,1986,4.4032,6.40295,2,8,0,300,12,War
Dragon Masters,1991,2.0909,5.8106,2,4,0,120,12,War
Runes,1981,1.9,6.16082,2,4,0,30,10,misc
Darkover,1979,2.5,5.29583,2,4,0,60,12,misc
Borderlands,1982,2.7826,6.73841,2,4,0,120,12,misc
Can't Stop,1980,1.1553,6.85195,2,4,3,30,9,Family
Tigris & Euphrates,1997,3.5064,7.69599,2,4,4,90,12,Strategy
Airlines,1990,2.4242,6.58402,2,6,0,90,12,Strategy
David & Goliath,1997,1.6257,6.45438,3,6,4,60,8,Family
Perudo,1800,1.2625,6.90371,2,6,6,30,8,misc
Medici,1995,2.2555,7.15626,2,6,5,60,10,Strategy
Chinatown,1999,2.2685,7.35277,3,5,5,60,12,Strategy
Krieg und Frieden,1999,2.4638,6.09125,2,4,0,90,12,Strategy
Mamma Mia!,1998,1.3693,6.47074,2,5,4,30,10,Family
Lost Cities,1999,1.4921,7.18784,2,2,2,30,10,Family
Ricochet Robots,1999,2.4107,7.01391,1,99,4,30,10,Abstract
Mighty Empires,1990,2.6,6.16538,2,3,0,300,14,War
Brauerei,1996,3.0,5.96143,3,6,0,0,14,misc
Tikal,1999,2.7906,7.33204,2,4,4,90,10,Strategy
Sophie's World,1998,1.5556,4.87444,2,6,0,90,12,misc
Schoko & Co.,1987,2.9149,6.65293,2,4,0,180,13,Strategy
Kings & Things,1986,2.6437,6.50457,2,4,0,120,12,misc
Giganten,1999,2.5693,6.69704,3,4,0,90,10,Strategy
Vinci,1999,2.7813,7.07778,3,6,4,120,14,Strategy
Fossil,1998,1.7451,5.44069,2,6,0,40,10,misc
Curse of the Mummy's Tomb,1988,1.88,5.31848,1,4,0,120,12,Thematic
Samurai: Game of Politics and Warfare in Feudal Japan,1979,2.6296,6.45191,2,8,0,180,12,War
Joan of Arc,1998,2.5424,6.27643,3,6,0,180,12,misc
Löwenherz,1997,2.9286,7.02767,2,4,4,90,12,Strategy
Conquest,1974,2.5,6.36488,2,4,0,120,10,War
Successors (First/Second Edition),1997,3.194,7.04767,2,4,0,180,12,War
Bollox,1999,2.4,6.77708,2,2,0,20,10,Abstract
Big City,1999,2.2171,6.8628,2,5,3,60,10,misc
Civilization,1980,3.6564,7.49788,2,7,7,360,12,Strategy
Verräter,1998,2.5676,6.69248,3,4,4,60,12,Strategy
Show Manager,1996,2.0943,6.99684,2,6,6,60,10,misc
Apples to Apples,1999,1.1588,5.79633,4,10,6,30,12,Party
Falling,1998,1.2231,5.49727,4,8,0,5,8,Party
Air Baron,1996,2.5484,6.39729,2,6,0,120,10,Strategy
EastFront,1991,3.5889,7.66357,2,2,0,240,12,War
"WestFront: The War in Europe, 1943-45",1992,3.4706,6.8324,2,2,0,240,12,War
MedFront: War in North Africa 1940-43,1994,3.0769,6.33226,2,2,0,180,12,War
Bobby Lee: The Civil War in Virginia 1861-1865,1993,2.9184,6.72803,2,2,0,240,12,War
Sam Grant: The Civil War in the West 1862-1864,1997,2.8889,6.36194,2,2,0,180,12,War
Rommel in the Desert,1982,3.4183,7.54678,2,2,0,150,12,War
Quebec 1759,1972,2.1512,6.9628,2,2,0,60,12,War
Victory: World War II,1998,2.5962,6.36869,2,4,0,120,12,War
Torres,1999,2.8656,7.10972,2,4,4,60,12,misc
Blue vs. Gray,1999,2.8438,6.75127,2,4,0,120,12,War
Star Wars: Episode 1 – Clash of the Lightsabers,1999,1.4262,6.21853,2,2,0,20,8,Family
Paths of Glory,1999,3.8421,8.05888,2,2,2,480,14,War
El Grande,1995,3.0515,7.74966,2,5,5,120,12,Strategy
Union Pacific,1999,2.5508,7.20662,2,6,4,90,12,Strategy
Igel Ärgern,1990,1.379,6.4098,2,6,0,30,8,Family
Broadsides & Boarding Parties,1982,1.8298,6.17637,2,2,0,60,10,Thematic
Conquest of the Empire,1984,2.5244,6.28403,2,6,0,240,10,misc
Axis & Allies,1981,3.0394,6.56572,2,5,2,180,12,War
Fortress America,1986,2.6434,6.69498,2,4,4,180,12,misc
Detroit-Cleveland Grand Prix,1996,1.7054,6.77823,2,6,0,60,8,Family
Klunker,1999,1.7674,6.2118,3,5,0,30,10,misc
Titan,1980,3.4573,6.96826,2,6,2,240,12,misc
Extrablatt,1991,2.9,7.00167,3,4,0,90,14,Strategy
Colossal Arena,1997,2.0204,6.7712,2,5,3,60,8,misc
Mystery Rummy: Jack the Ripper,1998,1.7483,6.94255,2,4,2,45,10,misc
TAMSK,1998,2.2866,6.77217,2,2,0,20,8,Abstract
Wettstreit der Baumeister,1994,2.0,6.08257,3,4,0,45,10,misc
Auf Achse,1987,1.9589,6.24084,2,6,4,60,8,Family
Rheinländer,1999,2.435,6.61795,3,5,4,45,12,Strategy
Condottiere,1995,1.9587,6.84772,2,6,4,45,14,Strategy
Mit List und Tücke,1999,1.8889,6.63968,4,6,0,60,10,misc
Ransom,1994,1.625,6.37532,2,6,0,45,12,misc
I'm the Boss!,1994,1.9682,6.78158,3,6,6,60,12,misc
Guillotine,1998,1.2675,6.53333,2,5,4,30,12,Family
Ta Yü,1999,2.0671,6.95651,2,4,2,45,10,Abstract
Modern Art,1992,2.2995,7.43439,3,5,5,45,10,Strategy
Kingdoms,1994,1.8297,6.64355,2,4,2,45,9,misc
Hoity Toity,1990,1.8669,6.52246,2,6,5,45,12,Family
Dune,1979,3.4504,7.61516,2,6,6,180,12,misc
Quo Vadis?,1991,2.0816,6.46065,3,5,5,45,12,Strategy
Primordial Soup,1997,2.7309,6.93839,3,4,4,90,12,Strategy
Money!,1999,1.5493,6.52763,3,5,0,30,10,Family
The Really Nasty Horse Racing Game,1989,1.6753,6.24935,2,6,0,90,12,Party
Princess Ryan's Star Marines,1997,2.4583,5.37867,1,6,0,120,10,War
Take it Easy!,1983,1.4817,6.61315,1,8,4,20,10,misc
Iron Dragon,1994,2.9456,6.99871,2,6,0,240,12,Strategy
Caesar & Cleopatra,1997,1.9144,6.40481,2,2,2,60,10,Strategy
Frischfleisch,1999,2.5455,6.13926,2,6,0,120,18,Strategy
Cape Horn,1999,2.0227,5.98759,3,5,0,45,12,Family
Kontor,1999,2.2051,5.96321,2,4,0,60,12,Strategy
Robin Hood,1999,1.75,5.46905,3,6,0,30,8,misc
Pass the Bomb,1994,1.3095,5.81847,2,10,0,20,12,Party
Hoax,1981,1.375,5.95814,3,12,0,45,10,misc
Pit,1903,1.1582,6.38713,3,8,8,90,7,misc
Andromeda,1999,2.2266,6.38261,3,5,0,60,10,misc
Vino,1999,2.9844,6.44544,3,5,0,90,12,Strategy
Elfenwizards,1995,2.3,6.1566,3,6,0,90,10,misc
Metropolis,1984,2.2353,6.39226,2,5,0,90,16,misc
Buy Low Sell High,1996,1.9907,6.14406,2,4,0,60,12,misc
Crude: The Oil Game,1974,2.7374,6.72543,2,4,0,90,13,Strategy
Die Glücksritter,1999,1.8,5.71333,3,6,0,60,8,misc
PitchCar,1995,1.1263,7.26579,2,8,6,30,6,misc
Piratenbillard,1959,1.25,6.55891,2,4,0,15,8,misc
Mü & More,1995,2.4971,7.15323,2,8,5,60,11,Strategy
Take 5!,1998,1.472,6.49846,2,6,0,60,10,Family
Union vs. Central,1999,3.75,6.74808,2,2,0,360,12,Strategy
Was sticht?,1993,2.3966,6.96557,3,4,0,60,12,misc
Wildlife Adventure,1985,1.8814,6.80333,2,6,0,60,10,Family
Eurorails,1990,2.7397,7.08606,2,6,3,240,10,Strategy
The Awful Green Things From Outer Space,1979,1.8759,6.5277,2,2,2,90,12,misc
Balderdash,1984,1.4139,6.46347,2,6,6,60,12,Party
"Before I Kill You, Mister Spy...",1996,1.2672,5.43186,2,6,0,30,12,misc
Black Box,1977,2.0658,6.37984,1,2,0,20,10,Abstract
Black Death,1993,1.8421,5.74632,2,6,0,120,0,misc
Dicke Kartoffeln,1989,3.4286,6.22516,2,6,0,120,12,Strategy
Empire Builder,1982,2.6212,6.94845,2,6,3,180,12,Strategy
En Garde,1993,1.4032,6.49615,2,2,0,30,8,Family
Family Business,1982,1.3237,6.08037,2,6,6,30,8,misc
Chess,1475,3.6886,7.15112,2,2,2,60,6,Abstract
For Sale,1997,1.2605,7.2261,3,6,5,30,10,Family
Formula Dé,1997,1.9589,6.99426,2,10,5,120,10,misc
T-Rex,1999,1.9048,5.50672,3,5,0,45,10,misc
What the Heck?,1988,1.1707,6.4631,2,5,5,20,7,Family
Give Me the Brain!,1996,1.2743,5.83947,3,8,0,15,10,misc
Mole Hill,1997,1.7188,6.00392,2,2,0,15,8,Abstract
Nuba,1995,2.0,6.30333,2,2,0,10,12,Abstract
Pool Position,1999,1.7273,5.72889,2,5,0,30,10,Abstract
Risk,1959,2.0792,5.59396,2,6,4,120,10,misc
Knights of Charlemagne,1995,1.4286,6.36689,2,4,0,30,8,Family
Stonehenge,1994,1.8571,6.31591,2,2,0,15,10,Abstract
Devil Bunny Needs a Ham,1998,1.1667,5.39487,2,5,0,30,8,Family
Split,1999,1.1333,5.92335,2,6,0,30,12,misc
Go,-2200,3.942,7.63525,2,2,2,180,8,Abstract
Die Siedler von Nürnberg,1999,2.7792,6.91488,3,4,0,90,10,misc
Dolce Vita,1999,1.6875,6.12296,3,5,0,30,10,Family
Nicht die Bohne!,1999,1.3619,6.32766,3,6,0,45,10,Family
Fill or Bust,1981,1.1667,5.68869,2,10,0,30,8,Family
Groo: The Game,1997,1.5,6.30273,2,4,0,45,10,Thematic
NASCAR Champions,1998,1.1111,5.4075,2,5,0,30,8,misc
Kremlin,1986,2.8409,6.96405,3,6,6,75,12,misc
HellRail: Second Perdition,1999,2.0,6.07946,3,4,0,75,13,misc
Buried Treasure,1992,1.5714,6.02409,2,4,0,30,10,Family
Manhattan,1994,1.9211,6.72653,2,4,4,45,10,Family
Entdecker,1996,2.2362,6.42113,2,4,0,60,10,misc
The Rose King,1992,1.9561,6.80763,2,4,2,30,10,Abstract
Targui,1988,2.3793,6.37571,2,4,0,120,12,misc
Stephenson's Rocket,1999,3.0595,6.89849,2,4,4,60,12,Strategy
Pepper,1998,1.7778,6.00582,3,9,0,45,10,misc
Twitch,1998,1.1667,6.08278,3,6,0,15,10,misc
Ex & Hopp,1996,1.2,5.43676,2,6,0,30,10,misc
Don Pepe,1999,1.3103,6.22488,3,6,0,30,8,misc
Times to Remember,1992,1.1333,6.30685,2,10,0,45,10,misc
Café International,1989,1.6651,6.23001,2,4,4,60,10,Family
Tichu,1991,2.3413,7.57817,4,4,4,60,10,Strategy
Atlanteon,1992,2.0267,5.81768,2,2,0,30,12,Abstract
A la carte,1989,1.3017,6.45981,2,4,4,30,8,Family
High-Bid,1965,1.8125,5.81772,2,4,0,25,12,misc
Volle Hütte,1997,2.0909,6.18946,3,5,0,30,12,misc
High Society,1995,1.5,7.09497,3,5,4,30,10,Family
Ikusa,1986,2.9509,7.02371,2,5,4,360,12,misc
Space Beans,1999,1.3866,6.08937,2,6,0,40,10,Family
Expedition,1996,1.976,6.81952,2,6,0,90,10,Family
History of the World,1991,2.7703,7.12299,3,6,6,270,12,misc
Icehouse,1989,2.5957,6.63562,3,5,0,20,8,Abstract
Isi,1999,0.0,6.57927,2,2,0,30,12,Abstract
Lunch Money,1996,1.515,5.63527,2,4,0,20,13,Thematic
King of the Elves,1999,2.0165,6.21133,2,6,0,60,10,Family
Merchant of Venus,1988,2.8345,7.14422,1,6,4,180,12,Strategy
Geronimo,1995,3.1935,5.71904,1,5,0,480,12,War
Serenissima,1996,3.0392,6.85917,2,4,4,120,12,Strategy
Hannibal: Rome vs. Carthage,1996,3.4458,7.80012,2,2,2,200,12,War
Blackbeard,1991,3.195,6.35591,1,4,1,240,12,misc
Wooden Ships & Iron Men,1974,3.1193,7.05421,2,2,2,60,12,War
"Wagram: The Peace of Vienna, 5-6 July 1809",1975,2.1538,6.7265,2,2,0,90,12,War
Britannia,1986,3.1676,7.20039,3,5,4,300,12,War
Age of Exploration,1994,3.0625,6.01383,1,6,0,180,14,misc
Junta,1978,2.8699,6.69389,2,7,7,240,16,misc
Advanced Squad Leader,1985,4.7321,8.00152,2,2,2,480,14,War
Circus Maximus,1979,2.6485,6.75117,2,10,8,120,12,misc
